n_stations,m,CWmin,data_rate_Mbps,payload_bytes,throughput
25,5,32,54.0,1000,2590118712275.2236
30,5,32,54.0,1000,2541461457239.7837
35,5,32,54.0,1000,2498183227379.1079
40,5,32,54.0,1000,2459105212535.4517
45,5,32,54.0,1000,2423389470844.8755
50,5,32,54.0,1000,2390425269367.0508
5,3,128,54.0,1000,2320618187748.6621
10,3,128,54.0,1000,2659958395053.6289
15,3,128,54.0,1000,2760877273186.5142
20,3,128,54.0,1000,2791502921659.6631
25,3,128,54.0,1000,2794373764889.0103
30,3,128,54.0,1000,2784577316361.8345
35,3,128,54.0,1000,2768538510243.6143
40,3,128,54.0,1000,2749328665495.2622
45,3,128,54.0,1000,2728536898999.8779
50,3,128,54.0,1000,2707031143862.4937
5,3,32,54.0,2000,3728644087632.6064
10,3,32,54.0,2000,3570779853570.1992
15,3,32,54.0,2000,3416848537253.1587
20,3,32,54.0,2000,3284537144939.8989
25,3,32,54.0,2000,3169110550461.9854
30,3,32,54.0,2000,3066345990096.8955
35,3,32,54.0,2000,2973314112829.2500
40,3,32,54.0,2000,2887984209410.4180
45,3,32,54.0,2000,2808910445306.2549
50,3,32,54.0,2000,2735030188319.4575
5,5,32,54.0,2000,3728877820338.5801
10,5,32,54.0,2000,3585994675628.1079
15,5,32,54.0,2000,3460095751951.9873
20,5,32,54.0,2000,3359910573151.1729
25,5,32,54.0,2000,3277253466460.6978
30,5,32,54.0,2000,3206710500710.8774
35,5,32,54.0,2000,3144949935265.5332
40,5,32,54.0,2000,3089833761987.7788
45,5,32,54.0,2000,3039920821300.7305
50,5,32,54.0,2000,2994196831038.3672
5,3,128,54.0,2000,3319953658861.7339
10,3,128,54.0,2000,3615997816387.7412
15,3,128,54.0,2000,3673596978918.9448
20,3,128,54.0,2000,3669444109134.0107
25,3,128,54.0,2000,3643798356180.5542
30,3,128,54.0,2000,3609908045001.6729
35,3,128,54.0,2000,3573002789400.8657
40,3,128,54.0,2000,3535367697113.7266
45,3,128,54.0,2000,3498056368101.7573
50,3,128,54.0,2000,3461557564273.6963
5,3,32,54.0,4000,4420684514559.8896
10,3,32,54.0,4000,4165129046894.1494
15,3,32,54.0,4000,3957232509317.8154
20,3,32,54.0,4000,3787029434856.1240
25,3,32,54.0,4000,3642088720501.8276
30,3,32,54.0,4000,3514974056692.0547
35,3,32,54.0,4000,3401109137341.1797
40,3,32,54.0,4000,3297505159353.4810
45,3,32,54.0,4000,3202109347277.3550
50,3,32,54.0,4000,3113449548007.1313
5,5,32,54.0,4000,4422108765677.0488
10,5,32,54.0,4000,4187516510569.7104
15,5,32,54.0,4000,4015009059122.4316
20,5,32,54.0,4000,3884041808845.9771
25,5,32,54.0,4000,3778447167181.7734
30,5,32,54.0,4000,3689602890591.9888
35,5,32,54.0,4000,3612590415878.0752
40,5,32,54.0,4000,3544377110107.7534
45,5,32,54.0,4000,3482969708821.9292
50,5,32,54.0,4000,3426989916003.8203
5,3,128,54.0,4000,4230946994720.5229
10,3,128,54.0,4000,4408191585319.5791
15,3,128,54.0,4000,4401073439720.0996
20,3,128,54.0,4000,4354143758168.9736
25,3,128,54.0,4000,4296873061074.1426
30,3,128,54.0,4000,4237960033723.0884
35,3,128,54.0,4000,4180352951035.7803
40,3,128,54.0,4000,4125047748524.7983
45,3,128,54.0,4000,4072305174707.6958
50,3,128,54.0,4000,4022093358480.2700
